what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307627425835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307627430614
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307628750339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307628751049
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307628753112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307628754646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629156526
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1307629160475
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1307629168866
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1307629179603
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1307629185730
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1307629187326
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1307629187937
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629188563
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629194678
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629612163
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629615555
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629621115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629641250
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629643878
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1307629651162
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1307629653351
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1307629655570
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629658419
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1307629686586
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1307629691898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629695191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629696549
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629697872
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629707789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629735241
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629763361
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629765584
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629778347
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629830282
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629839878
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629841313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629843033
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629844485
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1307629851332
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1307629851454
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629851734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629853113
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629854252
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307629875262
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307629900716
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630039628
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307630065837
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630077676
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630077859
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630078027
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1307630078771
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630080164
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630080316
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630080493
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630080628
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordNext",1307630080915
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307630082137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1307630089332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630100629
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630103844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630109391
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630137704
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1307630140069
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1307630141362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630141601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630530899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1307630532037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630532316
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630721283
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1307630723199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1307630764485
